EMPNO,ENAME,JOB,MGR,HIREDATE,SAL,COMM,DEPTNO
7369,SMITH,CLERK,7902,1980-12-17, 00800.00,200.00,20
7499,ALLEN,CLERK,7698,1981-02-20, 01600.00, 00300.00,30
7521,WARD,SALESMAN,7698,1981-02-22, 01250.00, 00500.00,30
7566,JONES,ANALYST,7839,1981-04-02, 02975.00,200.00,20
7654,MARTIN,SALESMAN,7698,1981-09-28, 01250.00, 01400.00,30
7698,BLAKE,MANAGER,7839,1981-05-01, 02850.00,200.00,30
7782,CLARK,MANAGER,7839,1981-06-09, 02450.00,200.00,10
7788,SCOTT,ANALYST,7566,1982-12-09, 03000.00,200.00,20
7839,KING,PRESIDENT,7566,1981-11-17, 05000.00,200.00,10
7844,TURNER,SALESMAN,7698,1981-09-08, 01500.00, 00000.00,30
7876,ADAMS,CLERK,7788,1983-01-12, 01100.00,200.00,20
7900,JAMES,CLERK,7698,1981-12-03, 00950.00,200.00,30
7902,FORD,ANALYST,7566,1981-12-03, 03000.00,200.00,20
7934,MILLER,CLERK,7782,1982-01-23, 01300.00,200.00,10
